,weight
2015-06-12,64.4
2015-06-13,64.2
2015-06-14,64.5
2015-06-15,64.2
2015-06-16,64.0
2015-06-17,64.6
2015-06-18,64.7
2015-06-19,65.5
2015-06-20,NaN
2015-06-21,64.6
2015-06-22,64.9
2015-06-23,64.4
2015-06-24,64.1
2015-06-25,NaN
2015-06-26,63.1
2015-06-27,NaN
2015-06-28,64.3
2015-06-29,63.1
2015-06-30,63.0
2015-07-01,62.9
2015-07-02,63.4
2015-07-03,63.4
2015-07-04,64.1
2015-07-05,62.7
2015-07-06,63.1
2015-07-07,63.0
2015-07-08,62.6
2015-07-09,63.2
2015-07-10,63.0
2015-07-11,NaN
2015-07-12,62.9
2015-07-13,62.5
2015-07-14,62.2
2015-07-15,62.6
2015-07-16,62.8
2015-07-17,63.0
2015-07-18,63.3
2015-07-19,62.9
2015-07-20,62.5
2015-07-21,62.5
2015-07-22,62.6
2015-07-23,63.0
2015-07-24,62.9
2015-07-25,63.3
2015-07-26,62.2
2015-07-27,61.8
2015-07-28,61.8
2015-07-29,62.1
2015-07-30,63.0
2015-07-31,62.6
2015-08-01,62.8
2015-08-02,62.6
2015-08-03,63.1
2015-08-04,62.4
2015-08-05,61.8
2015-08-06,63.2
2015-08-07,62.7
2015-08-08,62.2
2015-08-09,NaN
2015-08-10,62.0
2015-08-11,62.4
2015-08-12,62.1
2015-08-13,62.7
2015-08-14,NaN
2015-08-15,62.1
2015-08-16,61.8
2015-08-17,NaN
2015-08-18,NaN
2015-08-19,NaN
2015-08-20,NaN
2015-08-21,61.2
2015-08-22,61.1
2015-08-23,61.6
2015-08-24,NaN
2015-08-25,NaN
2015-08-26,NaN
2015-08-27,NaN
2015-08-28,NaN
2015-08-29,NaN
2015-08-30,NaN
2015-08-31,NaN
2015-09-01,NaN
2015-09-02,NaN
2015-09-03,NaN
2015-09-04,NaN
2015-09-05,NaN
2015-09-06,61.9
2015-09-07,61.5
2015-09-08,61.8
2015-09-09,62.3
2015-09-10,61.9
2015-09-11,61.9
2015-09-12,61.1
2015-09-13,61.2
2015-09-14,61.6
2015-09-15,61.2
2015-09-16,61.4
2015-09-17,61.1
2015-09-18,62.0
2015-09-19,NaN
2015-09-20,NaN
2015-09-21,61.4
2015-09-22,60.9
2015-09-23,61.5
2015-09-24,61.5
2015-09-25,61.7
2015-09-26,61.2
2015-09-27,61.6
2015-09-28,61.3
2015-09-29,61.3
2015-09-30,61.5
2015-10-01,61.4
2015-10-02,62.5
2015-10-03,63.3
2015-10-04,61.7
2015-10-05,62.5
2015-10-06,61.8
2015-10-07,61.8
2015-10-08,61.8
2015-10-09,62.6
2015-10-10,62.7
2015-10-11,62.5
2015-10-12,61.4
2015-10-13,62.7
2015-10-14,61.6
2015-10-15,61.5
2015-10-16,62.4
2015-10-17,62.4
2015-10-18,61.2
2015-10-19,61.2
2015-10-20,61.3
2015-10-21,61.7
2015-10-22,62.1
2015-10-23,61.8
2015-10-24,61.3
2015-10-25,62.2
2015-10-26,61.6
2015-10-27,61.7
2015-10-28,61.2
2015-10-29,62.0
2015-10-30,62.2
2015-10-31,62.0
2015-11-01,61.1
2015-11-02,61.7
2015-11-03,62.1
2015-11-04,61.6
2015-11-05,61.6
2015-11-06,62.3
2015-11-07,61.7
2015-11-08,61.3
2015-11-09,61.3
2015-11-10,61.3
2015-11-11,62.3
2015-11-12,NaN
2015-11-13,NaN
2015-11-14,NaN
2015-11-15,NaN
2015-11-16,61.6
2015-11-17,62.2
2015-11-18,62.3
2015-11-19,62.4
2015-11-20,61.4
2015-11-21,61.9
2015-11-22,62.1
2015-11-23,62.0
2015-11-24,61.9
2015-11-25,61.8
2015-11-26,61.2
2015-11-27,62.2
2015-11-28,62.8
2015-11-29,63.0
