,weight,indate,comments
128,61.6,,
129,62.2,,
130,62.3,,
131,62.4,,
132,61.4,,
133,61.9,,
134,62.1,,
135,62.0,,
136,61.9,,
137,61.8,,
138,61.2,,
139,62.2,,
140,62.8,,
141,63.0,,
142,62.6,,
143,62.3,,
144,62.7,,
145,61.9,,
146,61.9,,
147,62.5,,
148,62.2,,
149,62.0,,
150,62.4,,
151,61.8,,
152,62.4,,
153,63.0,,
154,62.6,,
155,62.3,,
156,62.0,,
157,62.2,,
158,61.8,,
159,61.7,,
160,61.6,,
161,61.9,,
162,62.2,,
163,62.2,,
164,61.8,,
165,62.5,,
166,62.8,,
167,61.6,,
168,62.6,,
169,62.3,,
170,61.8,,
171,62.8,,
172,62.7,,
173,62.6,,
174,61.9,,
175,62.7,,
176,62.6,,
177,62.4,,
178,62.2,,
179,62.8,,
180,62.4,,
181,62.3,,
182,62.9,,
183,62.2,,
184,61.6,,
185,61.7,,
186,62.0,,
187,61.9,,
188,62.4,,
189,62.1,,
190,61.9,,
191,61.6,,
192,61.6,,
193,62.3,,
194,62.3,,
195,62.2,,
196,62.3,,
197,62.5,,
198,62.5,,
199,62.0,,
200,61.3,,
201,62.0,,
202,62.6,,
203,62.2,,
204,62.0,,
205,61.9,,
206,62.0,,
207,62.8,,
208,61.7,,
209,62.3,,
210,61.7,,
211,62.3,,
212,62.6,,
213,62.1,,
214,62.4,,
215,61.9,,
216,62.4,,
217,62.4,,
218,62.0,,
219,61.4,,
220,62.3,,
221,61.7,,
222,62.2,,
223,61.0,,
224,61.4,,
225,61.6,,
226,62.2,,
227,62.3,,
228,62.1,,
229,62.1,,
230,61.4,,
231,61.8,,
232,62.2,,
233,62.0,,
234,62.4,,
235,61.6,,
236,62.0,,
237,62.0,,
238,62.1,,
239,62.0,,
240,62.4,,
241,63.4,,
242,62.5,,
243,63.4,,
244,62.8,,
245,62.4,,
246,62.1,,
247,63.4,,
248,62.8,,
249,62.7,,
250,63.1,,
251,63.0,,
252,62.4,,
253,62.1,,
254,62.9,,
255,61.9,,
256,63.6,,
257,63.4,,
258,62.4,,
259,62.3,,
260,62.5,,
261,62.3,,
262,62.4,,
263,62.9,,
264,62.1,,
265,62.9,,
266,62.9,,
267,62.9,,
268,62.6,,
269,62.1,,
270,62.1,,
271,62.2,,
272,63.1,,
273,62.9,,
274,62.5,,
275,62.3,,
276,62.7,,
277,62.6,,
278,62.4,,
279,62.3,,
280,62.1,,
281,62.3,,
282,62.3,,
283,61.9,,
284,61.8,,
285,61.6,,
286,62.1,,
287,63.1,,
288,63.3,,
289,63.3,,
290,63.0,,
291,63.1,,
292,63.1,,
293,62.5,,
294,62.5,,
295,62.4,,
296,62.4,,
297,61.7,,
298,62.1,,
299,63.4,,
300,62.9,,
301,62.1,,
302,62.2,,
303,62.5,,
304,63.0,,
305,62.7,,
306,62.0,,
307,62.5,,
308,62.3,,
309,62.1,,
310,61.8,,
311,62.5,,
312,62.5,,
313,63.1,,
314,62.1,,
315,62.8,,
316,62.1,,
317,62.3,,
318,62.5,,
319,63.5,,
320,62.7,,
321,62.5,,
322,62.5,,
323,62.1,,
324,63.3,,
325,62.6,,
326,62.3,,
327,62.5,,
328,62.1,,
329,63.2,,
330,62.4,,
331,62.0,,
332,62.5,,
333,62.3,,
334,63.9,,
335,61.4,,
336,62.5,,
337,63.3,,
338,62.5,,
339,62.9,,
340,62.5,,
341,62.9,,
342,63.1,,
343,62.7,,
344,63.1,,
345,62.9,,
346,63.0,,
347,62.4,,
348,62.0,,
349,62.2,,
350,62.0,,
351,61.9,,
352,61.6,,
353,62.0,,
354,62.3,,
355,62.6,,
356,62.9,,
357,61.7,,
358,61.6,,
359,61.9,,
360,61.4,,
361,61.3,,
362,61.6,,
363,61.3,,
364,61.4,,
365,61.4,,
366,61.2,,
367,61.1,,
368,61.0,,
369,61.7,,
370,61.6,,
371,61.4,,
372,61.8,,
373,61.6,,
374,61.8,,
