,index,weight,indate,comments,date
0,128,61.6,0,,2015-11-29
1,129,62.2,0,,2015-11-30
2,130,62.3,0,,2015-12-01
3,131,62.4,0,,2015-12-02
4,132,61.4,0,,2015-12-03
5,133,61.9,0,,2015-12-04
6,134,62.1,0,,2015-12-05
7,135,62.0,0,,2015-12-06
8,136,61.9,0,,2015-12-07
9,137,61.8,0,,2015-12-08
10,138,61.2,0,,2015-12-09
11,139,62.2,0,,2015-12-10
12,140,62.8,0,,2015-12-11
13,141,63.0,0,,2015-12-12
14,142,62.6,0,,2015-12-13
15,143,62.3,0,,2015-12-14
16,144,62.7,0,,2015-12-15
17,145,61.9,0,,2015-12-16
18,146,61.9,0,,2015-12-17
19,147,62.5,0,,2015-12-18
20,148,62.2,0,,2015-12-19
21,149,62.0,0,,2015-12-20
22,150,62.4,0,,2015-12-21
23,151,61.8,0,,2015-12-22
24,152,62.4,0,,2015-12-23
25,153,63.0,0,,2015-12-24
26,154,62.6,0,,2015-12-25
27,155,62.3,0,,2015-12-26
28,156,62.0,0,,2015-12-27
29,157,62.2,0,,2015-12-28
30,158,61.8,0,,2015-12-29
31,159,61.7,0,,2015-12-30
32,160,61.6,0,,2015-12-31
33,161,61.9,0,,2016-01-01
34,162,62.2,0,,2016-01-02
35,163,62.2,0,,2016-01-03
36,164,61.8,0,,2016-01-04
37,165,62.5,0,,2016-01-05
38,166,62.8,0,,2016-01-06
39,167,61.6,0,,2016-01-07
40,168,62.6,0,,2016-01-08
41,169,62.3,0,,2016-01-09
42,170,61.8,0,,2016-01-10
43,171,62.8,0,,2016-01-11
44,172,62.7,0,,2016-01-12
45,173,62.6,0,,2016-01-13
46,174,61.9,0,,2016-01-14
47,175,62.7,0,,2016-01-15
48,176,62.6,0,,2016-01-16
49,177,62.4,0,,2016-01-17
50,178,62.2,0,,2016-01-18
51,179,62.8,0,,2016-01-19
52,180,62.4,0,,2016-01-20
53,181,62.3,0,,2016-01-21
54,182,62.9,0,,2016-01-22
55,183,62.2,0,,2016-01-23
56,184,61.6,0,,2016-01-24
57,185,61.7,0,,2016-01-25
58,186,62.0,0,,2016-01-26
59,187,61.9,0,,2016-01-27
60,188,62.4,0,,2016-01-28
61,189,62.1,0,,2016-01-29
62,190,61.9,0,,2016-01-30
63,191,61.6,0,,2016-01-31
64,192,61.6,0,,2016-02-01
65,193,62.3,0,,2016-02-02
66,194,62.3,0,,2016-02-03
67,195,62.2,0,,2016-02-04
68,196,62.3,0,,2016-02-05
69,197,62.5,0,,2016-02-06
70,198,62.5,0,,2016-02-07
71,199,62.0,0,,2016-02-08
72,200,61.3,0,,2016-02-09
73,201,62.0,0,,2016-02-10
74,202,62.6,0,,2016-02-11
75,203,62.2,0,,2016-02-12
76,204,62.0,0,,2016-02-13
77,205,61.9,0,,2016-02-14
78,206,62.0,0,,2016-02-15
79,207,62.8,0,,2016-02-16
80,208,61.7,0,,2016-02-17
81,209,62.3,0,,2016-02-18
82,210,61.7,0,,2016-02-19
83,211,62.3,0,,2016-02-20
84,212,62.6,0,,2016-02-21
85,213,62.1,0,,2016-02-22
86,214,62.4,0,,2016-02-23
87,215,61.9,0,,2016-02-24
88,216,62.4,0,,2016-02-25
89,217,62.4,0,,2016-02-26
90,218,62.0,0,,2016-02-27
91,219,61.4,0,,2016-02-28
92,220,62.3,0,,2016-02-29
93,221,61.7,0,,2016-03-01
94,222,62.2,0,,2016-03-02
95,223,61.0,0,,2016-03-03
96,224,61.4,0,,2016-03-04
97,225,61.6,0,,2016-03-05
98,226,62.2,0,,2016-03-06
99,227,62.3,0,,2016-03-07
100,228,62.1,0,,2016-03-08
101,229,62.1,0,,2016-03-09
102,230,61.4,0,,2016-03-10
