Index,date,weight,comments
0,2015-06-12,64.4,
1,2015-06-13,64.2,
2,2015-06-14,64.5,
3,2015-06-15,64.2,
4,2015-06-16,64.0,
5,2015-06-17,64.6,
6,2015-06-18,64.7,
7,2015-06-19,65.5,
8,2015-06-21,64.6,
9,2015-06-22,64.9,
10,2015-06-23,64.4,
11,2015-06-24,64.1,
12,2015-06-26,63.1,
13,2015-06-28,64.3,
14,2015-06-29,63.1,
15,2015-06-30,63.0,
16,2015-07-01,62.9,
17,2015-07-02,63.4,
18,2015-07-03,63.4,
19,2015-07-04,64.1,
20,2015-07-05,62.7,
21,2015-07-06,63.1,
22,2015-07-07,63.0,
23,2015-07-08,62.6,
24,2015-07-09,63.2,
25,2015-07-10,63.0,
26,2015-07-12,62.9,
27,2015-07-13,62.5,
28,2015-07-14,62.2,
29,2015-07-15,62.6,
30,2015-07-16,62.8,
31,2015-07-17,63.0,
32,2015-07-18,63.3,
33,2015-07-19,62.9,
34,2015-07-20,62.5,
35,2015-07-21,62.5,
36,2015-07-22,62.6,
37,2015-07-23,63.0,
38,2015-07-24,62.9,
39,2015-07-25,63.3,
40,2015-07-26,62.2,
41,2015-07-27,61.8,
42,2015-07-28,61.8,
43,2015-07-29,62.1,
44,2015-07-30,63.0,
45,2015-07-31,62.6,
46,2015-08-01,62.8,
47,2015-08-02,62.6,
48,2015-08-03,63.1,
49,2015-08-04,62.4,
50,2015-08-05,61.8,
51,2015-08-06,63.2,
52,2015-08-07,62.7,
53,2015-08-08,62.2,
54,2015-08-10,62.0,
55,2015-08-11,62.4,
56,2015-08-12,62.1,
57,2015-08-13,62.7,
58,2015-08-15,62.1,
59,2015-08-16,61.8,
60,2015-08-21,61.2,
61,2015-08-22,61.1,
62,2015-08-23,61.6,
63,2015-09-06,61.9,
64,2015-09-07,61.5,
65,2015-09-08,61.8,
66,2015-09-09,62.3,
67,2015-09-10,61.9,
68,2015-09-11,61.9,
69,2015-09-12,61.1,
70,2015-09-13,61.2,
71,2015-09-14,61.6,
72,2015-09-15,61.2,
73,2015-09-16,61.4,
74,2015-09-17,61.1,
75,2015-09-18,62.0,
76,2015-09-21,61.4,
77,2015-09-22,60.9,
78,2015-09-23,61.5,
